Season,Club/Country,Award,Player
16/17,CA Peñarol,Uruguayan champion,Darwin Núñez
20/21,Chelsea FC,Champions League winner,Antonio Rüdiger
23,Real Madrid,FIFA Club World Cup winner,Antonio Rüdiger
22,Chelsea FC,FIFA Club World Cup winner,Antonio Rüdiger
22/23,Real Madrid,Uefa Supercup winner,Antonio Rüdiger
21/22,Chelsea FC,Uefa Supercup winner,Antonio Rüdiger
18/19,Chelsea FC,Europa League winner,Antonio Rüdiger
18,Chelsea FC,English FA Cup winner,Antonio Rüdiger
22/23,Real Madrid,Spanish cup winner,Antonio Rüdiger
17,Germany,Confederations Cup winner,Antonio Rüdiger
22/23,Manchester City,Player of the Year,Rodri
22/23,Manchester City,Champions League winner,Rodri
22/23,Manchester City,English Champion,Rodri
21/22,Manchester City,English Champion,Rodri
20/21,Manchester City,English Champion,Rodri
23/24,Manchester City,Uefa Supercup winner,Rodri
18/19,Atlético de Madrid,Uefa Supercup winner,Rodri
23,Spain,Winner UEFA Nations League,Rodri
23,Manchester City,English FA Cup winner,Rodri
21,Manchester City,English League Cup winner,Rodri
20,Manchester City,English League Cup winner,Rodri
20,Manchester City,English Super Cup winner,Rodri
15,Spain U19,European Under-19 champion,Rodri
21,Argentina,TM-Player of the season,Julián Álvarez
20/21,Professional Football League- 18 Goals,Top goal scorer,Julián Álvarez
22,Argentina,World Cup winner,Julián Álvarez
20/21,Argentina,Copa América winner,Julián Álvarez
22/23,Manchester City,Champions League winner,Julián Álvarez
22/23,Manchester City,English Champion,Julián Álvarez
23/24,Manchester City,Uefa Supercup winner,Julián Álvarez
23,Manchester City,English FA Cup winner,Julián Álvarez
17/18,CA River Plate,Copa Libertadores winner,Julián Álvarez
18/19,CA River Plate,Recopa Sudamericana winner,Julián Álvarez
21,CA River Plate,Argentinian champion,Julián Álvarez
20/21,CA River Plate,Campeón Trofeo de Campeones,Julián Álvarez
19/20,CA River Plate,Campeón Supercopa Argentina,Julián Álvarez
18/19,CA River Plate,Argentinian Cup Winner,Julián Álvarez
21/22,Argentina,CONMEBOL-UEFA Cup of Champions winner,Julián Álvarez
23,SSC Napoli,African Footballer of the Year,Victor Osimhen
22/23,Serie A- 26 Goals,Top goal scorer,Victor Osimhen
21/22,Africa Cup of Nations qualification- 10 Goals,Top goal scorer,Victor Osimhen
19/20,Africa Cup of Nations qualification- 5 Goals,Top goal scorer,Victor Osimhen
14/15,2015 FIFA U-17 World Cup- 10 Goals,Top goal scorer,Victor Osimhen
23,Italy,TM-Player of the season,Victor Osimhen
22/23,SSC Napoli,Italian champion,Victor Osimhen
15,Nigeria U23,Under-23 Africa Cup winner,Victor Osimhen
15,Nigeria U17,Under-17 World Cup champion,Victor Osimhen
22/23,Sevilla FC,Europa League winner,Yassine Bounou
19/20,Sevilla FC,Europa League winner,Yassine Bounou
23,Germany,Footballer of the Year,İlkay Gündoğan
22/23,Manchester City,Champions League winner,İlkay Gündoğan
22/23,Manchester City,English Champion,İlkay Gündoğan
21/22,Manchester City,English Champion,İlkay Gündoğan
20/21,Manchester City,English Champion,İlkay Gündoğan
18/19,Manchester City,English Champion,İlkay Gündoğan
17/18,Manchester City,English Champion,İlkay Gündoğan
11/12,Borussia Dortmund,German Champion,İlkay Gündoğan
23,Manchester City,English FA Cup winner,İlkay Gündoğan
19,Manchester City,English FA Cup winner,İlkay Gündoğan
11/12,Borussia Dortmund,German cup winner,İlkay Gündoğan
21,Manchester City,English League Cup winner,İlkay Gündoğan
20,Manchester City,English League Cup winner,İlkay Gündoğan
19,Manchester City,English League Cup winner,İlkay Gündoğan
18,Manchester City,English League Cup winner,İlkay Gündoğan
14/15,Borussia Dortmund,German Super Cup winner,İlkay Gündoğan
13/14,Borussia Dortmund,German Super Cup winner,İlkay Gündoğan
20,Manchester City,English Super Cup winner,İlkay Gündoğan
19,Manchester City,English Super Cup winner,İlkay Gündoğan
11/12,Borussia Dortmund II,German Regionalliga West Champion,İlkay Gündoğan
23,Georgia,Footballer of the Year,Khvicha Kvaratskhelia
22,Georgia,Footballer of the Year,Khvicha Kvaratskhelia
20,Georgia,Footballer of the Year,Khvicha Kvaratskhelia
22/23,UEFA Nations League C- 5 Goals,Top goal scorer,Khvicha Kvaratskhelia
22/23,SSC Napoli,Player of the Year,Khvicha Kvaratskhelia
22/23,SSC Napoli,Italian champion,Khvicha Kvaratskhelia
19,Lokomotiv Moscow,Russian cup winner,Khvicha Kvaratskhelia
22/23,Borussia Dortmund,Player of the Year,Jude Bellingham
23,Germany,TM-Player of the season,Jude Bellingham
20/21,Borussia Dortmund,German cup winner,Jude Bellingham
22/23,SSC Napoli,Italian champion,Kim Min-jae
17/18,Jeonbuk Hyundai Motors,South Korean champion,Kim Min-jae
16/17,Jeonbuk Hyundai Motors,South Korean champion,Kim Min-jae
18/19,South Korea,East Asian Championship winner,Kim Min-jae
19,South Korea U23,Asian Games Gold Medal,Kim Min-jae
20,Arsenal FC,English FA Cup winner,Bukayo Saka
24,Arsenal FC,English Super Cup winner,Bukayo Saka
21,Arsenal FC,English Super Cup winner,Bukayo Saka
23/24,Manchester City,Uefa Supercup winner,Joško Gvardiol
22/23,RB Leipzig,German cup winner,Joško Gvardiol
21/22,RB Leipzig,German cup winner,Joško Gvardiol
20/21,GNK Dinamo Zagreb,Croatian champion,Joško Gvardiol
19/20,GNK Dinamo Zagreb,Croatian champion,Joško Gvardiol
18/19,GNK Dinamo Zagreb,Croatian Super Cup Winner,Joško Gvardiol
20/21,GNK Dinamo Zagreb,Croatian cup winner,Joško Gvardiol
19/20,Bayern Munich,Champions League winner,Jamal Musiala
21,Bayern Munich,FIFA Club World Cup winner,Jamal Musiala
22/23,Bayern Munich,German Champion,Jamal Musiala
21/22,Bayern Munich,German Champion,Jamal Musiala
20/21,Bayern Munich,German Champion,Jamal Musiala
19/20,Bayern Munich,German Champion,Jamal Musiala
20/21,Bayern Munich,Uefa Supercup winner,Jamal Musiala
22/23,Bayern Munich,German Super Cup winner,Jamal Musiala
21/22,Bayern Munich,German Super Cup winner,Jamal Musiala
20/21,Bayern Munich,German Super Cup winner,Jamal Musiala
19/20,FC Bayern Munich II,German third tier champion,Jamal Musiala
17/18,Chelsea FC U18,English Youth League winner (U18),Jamal Musiala
22/23,DFB-Pokal- 6 Goals,Top goal scorer,Randal Kolo Muani
21/22,FC Nantes,French cup winner,Randal Kolo Muani
19,Norway,Footballer of the Year,Martin Ødegaard
16/17,Real Madrid,Uefa Supercup winner,Martin Ødegaard
19/20,Real Sociedad,Spanish cup winner,Martin Ødegaard
24,Arsenal FC,English Super Cup winner,Martin Ødegaard
